quarter,UNRATE,PSAVERT,CORCACBS,PCE_QoQ,REVOLSL_QoQ,t
1985Q1,7.233333333333333,9.233333333333333,0.82,2.8578137336912057,7.001859090535412,0
1985Q2,7.3,10.133333333333333,0.97,1.7200519340694775,5.384122796005286,1
1985Q3,7.2,8.166666666666666,1.15,2.663913518633532,4.353225515534653,2
1985Q4,7.033333333333334,8.9,1.28,0.912016056064946,5.25027761161887,3
1986Q1,7.033333333333334,9.3,1.35,1.5789394659577738,4.996469051314811,4
1986Q2,7.166666666666667,9.466666666666669,1.42,0.9809010062277856,3.5583992534970577,5
1986Q3,6.966666666666666,8.433333333333334,1.49,2.2790770335740618,2.4001915247044536,6
1986Q4,6.833333333333333,7.899999999999999,1.49,1.2129620605710656,2.4517899005138237,7
1987Q1,6.599999999999999,8.566666666666666,1.47,1.0343235246348392,1.58188191604971,8
1987Q2,6.266666666666667,6.4,1.47,2.3136782037928683,3.681359329271139,9
1987Q3,6.0,7.033333333333334,1.43,2.0744045483729323,4.440360875574712,10
1987Q4,5.833333333333333,8.166666666666666,1.49,1.0720769745100611,3.026312187682656,11
1988Q1,5.7,8.1,1.45,2.5361180435702124,4.352583643646391,12
1988Q2,5.466666666666666,8.466666666666667,1.47,1.834426296762004,2.8961102948100503,13
1988Q3,5.466666666666666,8.6,1.52,2.1102141694093746,2.8006473538018994,14
1988Q4,5.333333333333333,8.433333333333334,1.46,2.137476972042585,3.734705086504953,15
1989Q1,5.2,8.933333333333334,1.57,1.6068430501359643,3.02723759926522,16
1989Q2,5.233333333333333,8.133333333333333,1.55,1.8067962962877715,3.7769641492317874,17
1989Q3,5.233333333333333,7.833333333333333,1.54,1.5524100016222064,3.12265783156338,18
1989Q4,5.366666666666667,8.200000000000001,1.64,1.2198799233978264,3.128449763907959,19
1990Q1,5.3,8.233333333333334,1.64,2.279252124599473,3.769218255214568,20
1990Q2,5.333333333333333,8.666666666666666,1.72,1.2099012603018269,3.1859913698781384,21
1990Q3,5.7,8.299999999999999,1.83,1.6583751257511992,4.104108173595833,22
1990Q4,6.133333333333333,8.233333333333334,1.97,0.5504704120896875,2.4640836003511524,23
